Surname,First names,Title,List,Party,Organisation,Place,Position Title,Start Date,End Date
MAPULANE,MOHLOPI PHILLEMON, Mr,NW,ANC,National Assembly,North West,Member,2014-05-21,future
MARAIS,ERIK JOHANNES, Mr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
MARAIS,SAREL JACOBUS FRANCOIS, Mr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
MARTINS,BENEDICT ANTHONY DUKE, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MASANGO,MOSES SIPHOSEZWE AMOS, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MASANGO,SUHLA JAMES, Mr,National,DA,National Assembly,,Member,2014-05-21,future
MASEHELA,ELIZABETH KOENA MMANOKO, Mrs,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
MASEKO,LINDIWE MICHELLE, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MASHABELA,NGWANAMAKWETLE RENEILOE, Ms,LP,EFF,National Assembly,Limpopo,Member,2014-05-21,future
MASHATILE,SHIPOKOSA PAULUS, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MASHEGO-DLAMINI,KWATI CANDITH, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MASHILE,BUOANG LEMIAS, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MASINA,MZWANDILE COLLEN, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MASONDO,NKOSIYAKHE AMOS, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MASUKU,MADALA BACKSON, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MASUTHA,TSHILILO MICHAEL, Adv,National,ANC,National Assembly,,Member,2014-05-21,future
MATHALE,CASSEL CHARLIE, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MATHEBE,DUDU HELLEN, Ms,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
Matiase,Nthako Sam,Mr,GP,EFF,National Assembly,Gauteng,Member,2014-05-21,future
MATLALA,MOTSWALEDI HEZEKIEL, Mr,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
MATLHOKO,ABINAAR MODIKELA, Mr,NW,EFF,National Assembly,North West,Member,2014-05-21,future
