Party,List,Rank,Name,Surname,Organisation,Position Title,Start Date,End Date,Place Name
DEMOCRATIC ALLIANCE,Provincial: Gauteng,22,ADRIANA MARIA,RANDALL,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,23,MOKHAUGELO SOLOMON,CHABALALA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Provincial: Gauteng,1,DALUXOLO CHRISTOPHER,MPOFU,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Provincial: Gauteng,2,MGCINI,TSHWAKU,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Provincial: Gauteng,3,OMPHILE MANKOBA CONFIDENCE,MAOTWE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Provincial: Gauteng,4,PATRICK,SINDANE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Provincial: Gauteng,5,CATHERINE LINDIWE,DZIMBA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Provincial: Gauteng,6,GLADWIN,KHAIYANE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Provincial: Gauteng,7,MANDISA SIBONGILE,MASHEGO,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Provincial: Gauteng,8,KOMASEROTO BENJAMIN,DISOLOANE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
INKATHA FREEDOM PARTY,Provincial: Gauteng,1,BONGINKOSI WESLEY,DHLAMINI,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
VRYHEIDSFRONT PLUS,Provincial: Gauteng,1,ANTON DE WAAL,ALBERTS,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,1,NOMSA,NCUBE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,2,EDWARD SENZO,MCHUNU,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,3,CATHARINA MAGDALENA,CRONJE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,4,THEMBINKOSI WILLIES,MCHUNU,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,5,MICHAEL,MABUYAKHULU,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,6,NELISWA PEGGY,NKONYENI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,7,SIBONGISENI MAXWELL,DHLOMO,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,8,MTHOLEPHI EMMANUEL,MTHIMKHULU,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,9,BONGINKOSI MESHACK,RADEBE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,10,NTOMBIKAYISE NOMAWISILE,SAPHETHA                                     ,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,11,SIPHO CAIPHAS,NKOSI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,12,WEZIWE GCOTYELWA,THUSI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,13,THOMAS MXOLISI,KAUNDA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,14,MUNTUKAYISE BHEKUYISE,NTULI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,15,RAVIGASEN RANGANATHAN,PILLAY,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,16,LYDIA,JOHNSON,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,17,VUSUMUZI CYRIL,XABA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,18,LANGALAKHE NICHOLAS,MKHIZE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,19,MTHANDENI ERIC,DLUNGWANA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,20,EMMANUEL VUSUMUZI,DUBE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,21,MAGESVARI,GOVENDER,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,22,BELINDA FRANCIS,SCOTT,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,23,LINDIWE CHRISTABOLA,BEBEE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,24,NONHLANHLA MILDRED,KHOZA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,25,HAPPY MAMLILI,BLOSE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,26,NHLAKANIPHO,NTOMBELA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,27,MBALENHLE CLEOPATRA,FRAZER,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,28,SIPHO JOSEPH,GCABASHE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,29,BONGIWE NOMUSA,SITHOLE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,30,SIBONISO ARMSTRONG,DUMA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,31,NOMAGUGU,SIMELANE-ZULU                                ,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,32,RICHARD THEMBA,MTHEMBU,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,33,HLOBISILE SALVATORIS,NGXONGO,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,34,NTUTHUKO MBONGISENI,SIBIYA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,35,ZANELE MARIA,LUDIDI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,36,LINDA XOLELWA HLOBISILE,HLONGWA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,37,BANGOKWAKHE MADESIUS,ZUMA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,38,IMPORTANT SAMSON,MKHIZE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,39,MAKHONI MARIA,NTULI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,40,ALPHA,SHELEMBE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,41,NONTEMBEKO NOTHEMBA,BOYCE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,42,BHEKIMALI VASCO,HLENGWA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,43,VUYELWA VIVIAN,TAMBO,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,44,ZWELIFILE CHRISTOPHER,NTULI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,45,GLORIA NONZWAKAZI,SWARTBOOI-NTOMBELA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,46,SAKHEPHI MDUMISENI MICHAEL,DLOMO,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,47,NOMFUNDO NTOMBENHLE PENELOPE,MKHULUSI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,48,YATIMA MAKHOSAZANA,NAHARA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,49,FORTUNE KWAZI KWAKHE,BHENGU,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,50,LIZZIE FIKELEPHI,SHABALALA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,51,MTHENJWA AMON,ZONDI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: KwaZulu-Natal,52,ZIBUSE MICHAEL,MLABA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Provincial: KwaZulu-Natal,1,SIZWE WISEMAN,MCHUNU,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Provincial: KwaZulu-Natal,2,MBALI,NTULI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Provincial: KwaZulu-Natal,3,IMRAN,KEEKA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Provincial: KwaZulu-Natal,4,FRANCOISE ADRIANUS,RODGERS,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Provincial: KwaZulu-Natal,5,RISHIGEN,VIRANNA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Provincial: KwaZulu-Natal,6,MARK HARVEY,STEELE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Provincial: KwaZulu-Natal,7,HLANGANANI SIPHELELE,GUMBI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Provincial: KwaZulu-Natal,8,ANN MELLANY,MC DONNELL,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Provincial: KwaZulu-Natal,9,MOHAMMED RAFEEK,SAYEDALI SHAH,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Provincial: KwaZulu-Natal,10,GANESAN,MARI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
ECONOMIC FREEDOM FIGHTERS,Provincial: KwaZulu-Natal,1,ABEDNIGO VUSUMUZI,KHOZA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
ECONOMIC FREEDOM FIGHTERS,Provincial: KwaZulu-Natal,2,THEMBI PORTIA,MSANE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Provincial: KwaZulu-Natal,1,ELPHAS MFAKAZELENI,BUTHELEZI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Provincial: KwaZulu-Natal,2,MUZIWENKOSI BLESSED,GWALA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Provincial: KwaZulu-Natal,3,THEMBENI PETTY,MTHETHWA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Provincial: KwaZulu-Natal,4,SUBRAMONEY,MOODLEY,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Provincial: KwaZulu-Natal,5,HASSAN FAROUK,MOTALA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Provincial: KwaZulu-Natal,6,LIONEL PERCIVAL HERCULES MBEKI,MTSHALI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Provincial: KwaZulu-Natal,7,NCAMISILE JERICH,NKWANYANA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Provincial: KwaZulu-Natal,8,MBONGELENI JOSHUA,MAZIBUKO,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Provincial: KwaZulu-Natal,9,MNTOMUHLE,KHAWULA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
MINORITY FRONT,Provincial: KwaZulu-Natal,1,SHAMEEN,THAKUR-RAJBANSI,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
NATIONAL FREEDOM PARTY,Provincial: KwaZulu-Natal,1,VIKIZITHA RICHARD,MLOTSHWA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
NATIONAL FREEDOM PARTY,Provincial: KwaZulu-Natal,2,BONGINKOSI STANLEY,DLADLA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
NATIONAL FREEDOM PARTY,Provincial: KwaZulu-Natal,3,PERTUNIA HAPPY,KHUZWAYO,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
NATIONAL FREEDOM PARTY,Provincial: KwaZulu-Natal,4,SIPHO JOHANNES,MDAKANE,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
NATIONAL FREEDOM PARTY,Provincial: KwaZulu-Natal,5,BONGOKWAKHE MTHOKOZISI,NZUZA,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
NATIONAL FREEDOM PARTY,Provincial: KwaZulu-Natal,6,ERICKSON MTSHENENI,ZUNGU,KwaZulu-Natal Provincial Legislature,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,1,CHUPU STANLEY,MATHABATHA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,2,FALAZA PHILEMON,MDAKA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,3,MATJIE LEHLOGONOLO ALFRED,MASOGA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,4,MKHACANI JOSEPH,MASWANGANYI,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,5,SEAPARO CHARLES,SEKOATI,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,6,KGOLANE ALFRED,PHALA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,7,MAARIA ISHMAEL,KGATJEPE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,8,HAPPY JOYCE,MASHAMBA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,9,NAMANE DICKSON,MASEMOLA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,10,THIBEDI GIDEON,CHEPAPE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,11,MASELE SOLLY,CHEGO,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,12,AZWINDINI JEREMIAH DINGAA,NDOU,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,13,ANNA TANDI,MORAKA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,14,MAMOYAGALE GERTRUDE,KGALAMADI,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,15,MAKOMA GRACE,MAKHURUPETJE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,16,MAPULA ANNAH,MOKABA-PHUKWANA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,17,SHAHIDABIBI,SHAIKH,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,18,BERTHA AMANDA JOYCE,MATSHOGE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,19,MMANEO ONICCA,MOLOI,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,20,SYLVIA SNOWY,KENNEDY-MONYEMORATHO,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,21,THEMBISILE ELLEN,NWEDAMUTSWU,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,22,MATODZI MIRRIAM,RAMADWA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,23,KWENA ELIAS,NONG,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,24,RENEILOE ROSEMARRY,MOLAPO,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,25,THOTOGELO DANIEL,SEBABI,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,26,SUSANI VIOLET,MATHYE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,27,MMABOGAHLA ISAIAH,MASEKOAMENG,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,28,LUCY MANTHEPA,SELOANE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,29,WISANI GOODMAN,MITILENI,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,30,TSHAMELENI EMMA,NDLOVU,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,31,MOLAPI SOVIET,LEKGANYANE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,32,MAITE REBECCA,MARUTHA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,33,FREDERICK THINAMAANO,DAU,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,34,NDZIMENI SYLVIA,MUDAU,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,35,SENTLE LAVIUS EMMANUEL,FENYANE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,36,MAKWENA LYDIA,NGWENYA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,37,ROBERT WILLIAM NOEL,TOOLEY,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,38,MOKGADI JOHANNA,APHIRI,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Limpopo,39,NANDA ANNAH,NDALANE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
CONGRESS  OF THE PEOPLE,Provincial: Limpopo,1,PATRICK,SIKHUTSHI,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
DEMOCRATIC ALLIANCE,Provincial: Limpopo,1,PHILLIP LANGA,BODLANI,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
DEMOCRATIC ALLIANCE,Provincial: Limpopo,2,JACOBUS FREDERIK,SMALLE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
DEMOCRATIC ALLIANCE,Provincial: Limpopo,3,KATLEGO SUZAN,PHALA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
ECONOMIC FREEDOM FIGHTERS,Provincial: Limpopo,1,MICHAEL RAHLAGANE,MATHEBE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
ECONOMIC FREEDOM FIGHTERS,Provincial: Limpopo,2,MODIKANE JOSEPH,BUTHANE,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
ECONOMIC FREEDOM FIGHTERS,Provincial: Limpopo,3,MAPULA JOHANNA,LEDWABA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
ECONOMIC FREEDOM FIGHTERS,Provincial: Limpopo,4,GEORGE,RAPHELA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
