County Code,,County,,,,,Const. Code,,,Constituency,,,,Full Names A,,,,,Full Names B,,,,,Party/Independent Candidate
33,,Narok,,,,,182,,,Narok West,,,,Patrick Keturet Ole,,,,,Ntutu,,,,,United Republican Party
34,,Kajiado,,,,,183,,,Kajiado North,,,,Joseph Wathigo,,,,,Manje,,,,,The National Alliance
34,,Kajiado,,,,,184,,,Kajiado Central,,,,Joseph Kasaine,,,,,Nkaissery,,,,,Orange Democratic Movement
34,,Kajiado,,,,,185,,,Kajiado East,,,,Peris Pesi,,,,,Tobiko,,,,,The National Alliance
34,,Kajiado,,,,,186,,,Kajiado West,,,,Moses Somoine,,,,,Ole Sakuda,,,,,The National Alliance
34,,Kajiado,,,,,187,,,Kajiado South,,,,Metito Judah,,,,,Katoo,,,,,The National Alliance
35,,Kericho,,,,,188,,,Kipkelion East,,,,Kirui Joseph,,,,,Limo,,,,,United Republican Party
35,,Kericho,,,,,189,,,Kipkelion West,,,,Jackson Kipkorir,,,,,Rop,,,,,United Republican Party
35,,Kericho,,,,,190,,,Ainamoi,,,,Benjamin Kipkirui,,,,,Langat,,,,,United Republican Party
35,,Kericho,,,,,191,,,Bureti,,,,Leonard Kipkosgei,,,,,Sang,,,,,United Republican Party
35,,Kericho,,,,,192,,,Belgut,,,,Eric Arap,,,,,Keter,,,,,Kenya African National Union
35,,Kericho,,,,,193,,,Sigowet/Soin,,,,Justice Kipsang,,,,,Kemei,,,,,United Republican Party
36,,Bomet,,,,,194,,,Sotik,,,,Joyce Cherono Abonyo,,,,,Laboso,,,,,United Republican Party
36,,Bomet,,,,,195,,,Chepalungu,,,,Paul Kipchirchir,,,,,Bii,,,,,United Republican Party
36,,Bomet,,,,,196,,,Bomet East,,,,Benard Kipkirui,,,,,Bett,,,,,United Republican Party
36,,Bomet,,,,,197,,,Bomet Central,,,,Ronald Kiprotich,,,,,Tonui,,,,,United Republican Party
36,,Bomet,,,,,198,,,Konoin,,,,Sammy Cheruiyot,,,,,Koech,,,,,United Republican Party
37,,Kakamega,,,,,199,,,Lugari,,,,Ayub Savula,,,,,Angatia,,,,,United Democratic Forum Party
37,,Kakamega,,,,,200,,,Likuyani,,,,Enoch Wamalwa,,,,,Kibunguchy,,,,,Orange Democratic Movement
37,,Kakamega,,,,,201,,,Malava,,,,Moses Malulu,,,,,Injendi,,,,,Maendeleo Democratic Party
37,,Kakamega,,,,,202,,,Lurambi,,,,Raphael Milikau,,,,,Otaalo,,,,,Orange Democratic Movement
37,,Kakamega,,,,,203,,,Navakholo,,,,Emmanuel,,,,,Wangwe,,,,,United Democratic Forum Party
37,,Kakamega,,,,,204,,,Mumias West,,,,Johnson Manya,,,,,Naicca,,,,,Orange Democratic Movement
37,,Kakamega,,,,,205,,,Mumias East,,,,Benjamin Jomo,,,,,Washiali,,,,,United Democratic Forum Party
37,,Kakamega,,,,,206,,,Matungu,,,,David Aoko,,,,,Were,,,,,New Ford Kenya
37,,Kakamega,,,,,207,,,Butere,,,,Andrew Toboso,,,,,Anyanga,,,,,Orange Democratic Movement
37,,Kakamega,,,,,208,,,Khwisero,,,,Benjamin A.,,,,,Andayi,,,,,Orange Democratic Movement
37,,Kakamega,,,,,209,,,Shinyalu,,,,Lisamula Silverse,,,,,Anami,,,,,Orange Democratic Movement
37,,Kakamega,,,,,210,,,Ikolomani,,,,Benard Masaka,,,,,Shinali,,,,,United Democratic Forum Party
