current_name,correct_name,lga_areas
Bakoro/Danja,Bakoro / Danja,"Bakori, Danja"
Anocha/Njikoka/Dunukofia,Anocha / Njikoka / Dunukofia,"Anaocha, Njikoka, Dunukofia"
Umahia North/South/Ikwuaro,Umahia North / South / Ikwuaro,"Umuahia North, Umuahia South, Ikwuano"
Igboeze North/Udenu,Igboeze North / Udenu,"Igbo-eze North, Udenu"
Darazo/Ganjuwa,Darazo / Ganjuwa,"Darazo, Gamjuwa"
Dukku/Nafada,Dukku / Nafada,"Dukku, Nafada"
Lokoja,Lokoja,Lokoja
"Aliero, Gwandu, Jega","Aliero, Gwandu, Jega","Aleiro, Gwandu, Jega"
Sokoto North/South,Sokoto North / South,"Sokoto North, Sokoto South"
Albasu/Gaya/Ajingi,Albasu / Gaya / Ajingi,"Albasu, Gaya, Ajingi"
AKKO,AKKO,Akko
Aba North / Aba South,Aba North / Aba South,"Aba North, Aba South"
Ukwa East/West,Ukwa East / West,"Ukwa East, Ukwa West"
Ogbaru,Ogbaru,Ogbaru
BABURA/GARKI,BABURA / GARKI,"Babura, Garki"
Yenagoa/K/Opokuma,Yenagoa / K / Opokuma,"Yenegoa, Gwiwa, Opokuma"
Kebbe/Tambuwal Federal Constituency,Kebbe / Tambuwal Federal Constituency,"Kebbe, Tambawal"
Kosofe Federal Constituency,Kosofe Federal Constituency,Kosofe
LAGOS ISLAND II,LAGOS ISLAND II,LagosIsland
Bogoro/Dass/Tafawa Balewa,Bogoro / Dass / Tafawa Balewa,"Bogoro, Dass, Tafawa Balewa"
Kajuru/Chikum,Kajuru / Chikum,"Kajuru, Shagamu"
Irepodun / Olorunda / Orolu / Osogbo,Irepodun / Olorunda / Orolu / Osogbo,"Irepodun, Olorunda, Orolu, Osogbo"
Ikara/KuKubau,Ikara / KuKubau,"Ikara, KuKubau"
Gwaram,Gwaram,Gwaram
Balanga/Biliri,Balanga / Biliri,"Balanga, Billiri"
Mallam Madori/Kaugama,Mallam Madori / Kaugama,"Mallam Madori, Kaugama"
Agwara / Borgu,Agwara / Borgu,"Agwara, Borgu"
ABUJA MUNICIPAL/BWARI,ABUJA MUNICIPAL / BWARI,"AbujaMun, Bwari"
Mushin I Federal Constituency,Mushin I Federal Constituency,Mushin
Kankara/Faskari/Sabuwa Constituency,Kankara / Faskari / Sabuwa Constituency,"Kankara, Faskari, Sabuwa"
Zaria,Zaria,Zaria
Agale / Lapai,Agale / Lapai,"Ikole, Lapai"
IJEBU - LEKKI,IJEBU - LEKKI,Ibeju/Lekki
Askira /Uba / Hawul,Askira / Uba / Hawul,"Askira/U, Uba, Hawul"
